Date,NYY,TBR,TOR,BAL,BOS,CHW,CLE,DET,KCR,MIN,LAA,OAK,SEA,TEX,HOU
2022-04-07,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0
2022-04-08,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-2.0,-1.0,1.0,-1.0,2.0
2022-04-09,0.0,2.0,2.0,-2.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,-1.0,-2.0,2.0,-2.0,1.0
2022-04-10,-1.0,3.0,1.0,-3.0,-1.0,1.0,-1.0,-3.0,-1.0,-1.0,-2.0,-1.0,1.0,-1.0,2.0
2022-04-11,-2.0,2.0,2.0,-2.0,-2.0,1.0,0.0,-2.0,-2.0,0.0,-1.0,0.0,0.0,-2.0,2.0
2022-04-12,-1.0,1.0,1.0,-3.0,-1.0,2.0,1.0,-3.0,-3.0,-1.0,-2.0,-1.0,-1.0,-3.0,3.0
2022-04-13,-2.0,0.0,2.0,-4.0,0.0,3.0,2.0,-4.0,-3.0,-2.0,-2.0,0.0,-2.0,-3.0,2.0
2022-04-14,-1.0,-1.0,1.0,-4.0,0.0,2.0,2.0,-3.0,-4.0,-2.0,-3.0,1.0,-1.0,-2.0,2.0
2022-04-15,-2.0,-2.0,2.0,-5.0,-1.0,3.0,1.0,-2.0,-5.0,-1.0,-2.0,0.0,0.0,-3.0,1.0
2022-04-16,-1.0,-3.0,1.0,-6.0,0.0,4.0,0.0,-3.0,-4.0,-2.0,-1.0,1.0,-1.0,-4.0,2.0
2022-04-17,-2.0,-2.0,2.0,-5.0,1.0,3.0,-1.0,-3.0,-4.0,-3.0,0.0,0.0,0.0,-5.0,1.0
2022-04-18,-2.0,-3.0,2.0,-6.0,0.0,3.0,-1.0,-3.0,-4.0,-2.0,-1.0,1.0,0.0,-5.0,2.0
2022-04-19,-1.0,-2.0,1.0,-7.0,1.0,3.0,-1.0,-4.0,-3.0,-3.0,0.0,2.0,1.0,-6.0,1.0
2022-04-20,0.0,-1.0,2.0,-6.0,0.0,1.0,1.0,-5.0,-2.0,-4.0,1.0,1.0,2.0,-7.0,0.0
2022-04-21,-1.0,-1.0,3.0,-7.0,-1.0,0.0,2.0,-4.0,-3.0,-3.0,1.0,2.0,1.0,-6.0,0.0
2022-04-22,0.0,-2.0,4.0,-6.0,0.0,-1.0,1.0,-4.0,-4.0,-2.0,0.0,1.0,2.0,-5.0,-1.0
2022-04-23,-1.0,-3.0,5.0,-5.0,-1.0,-2.0,0.0,-4.0,-5.0,-1.0,-1.0,0.0,3.0,-4.0,-2.0
2022-04-24,0.0,-2.0,4.0,-6.0,-2.0,-3.0,-1.0,-5.0,-6.0,-2.0,0.0,1.0,2.0,-5.0,-3.0
2022-04-25,0.0,-2.0,5.0,-6.0,-3.0,-3.0,-2.0,-5.0,-6.0,-2.0,1.0,1.0,2.0,-4.0,-4.0
2022-04-26,1.0,-3.0,4.0,-7.0,-4.0,-4.0,-3.0,-6.0,-5.0,-3.0,2.0,0.0,3.0,-5.0,-3.0
2022-04-27,2.0,-2.0,3.0,-8.0,-3.0,-3.0,-4.0,-7.0,-6.0,-2.0,3.0,1.0,2.0,-6.0,-2.0
2022-04-28,3.0,-1.0,4.0,-9.0,-4.0,-4.0,-5.0,-8.0,-5.0,-1.0,4.0,1.0,1.0,-7.0,-1.0
2022-04-29,4.0,0.0,3.0,-10.0,-3.0,-5.0,-4.0,-9.0,-6.0,-2.0,5.0,0.0,0.0,-8.0,0.0
2022-04-30,5.0,-1.0,4.0,-11.0,-4.0,-4.0,-3.0,-8.0,-7.0,-1.0,4.0,-1.0,-1.0,-7.0,-1.0
2022-05-01,6.0,-2.0,5.0,-10.0,-5.0,-5.0,-2.0,-9.0,-8.0,0.0,5.0,-2.0,0.0,-6.0,-2.0
2022-05-02,7.0,-1.0,4.0,-11.0,-5.0,-4.0,-2.0,-9.0,-9.0,1.0,4.0,-3.0,-1.0,-6.0,-1.0
2022-05-03,8.0,0.0,3.0,-12.0,-4.0,-3.0,-2.0,-9.0,-8.0,2.0,3.0,-4.0,-2.0,-5.0,0.0
2022-05-04,7.0,1.0,4.0,-11.0,-5.0,-2.0,-4.0,-9.0,-9.0,1.0,4.0,-5.0,-3.0,-4.0,1.0
2022-05-05,7.0,2.0,3.0,-10.0,-6.0,-2.0,-3.0,-10.0,-9.0,0.0,5.0,-5.0,-4.0,-4.0,0.0
2022-05-06,7.0,3.0,3.0,-10.0,-7.0,-1.0,-3.0,-11.0,-9.0,1.0,6.0,-6.0,-5.0,-4.0,1.0
2022-05-07,7.0,4.0,3.0,-10.0,-8.0,0.0,-3.0,-12.0,-9.0,2.0,5.0,-7.0,-6.0,-4.0,2.0
2022-05-08,5.0,3.0,2.0,-10.0,-9.0,1.0,-2.0,-13.0,-9.0,3.0,4.0,-8.0,-7.0,-4.0,3.0
2022-05-09,5.0,3.0,2.0,-10.0,-9.0,1.0,-2.0,-13.0,-9.0,3.0,4.0,-8.0,-7.0,-4.0,3.0
2022-05-10,5.0,3.0,2.0,-10.0,-9.0,1.0,-2.0,-13.0,-9.0,3.0,4.0,-8.0,-7.0,-4.0,3.0
